Order,Start time(HH:MM:SS),End time(HH:MM:SS),Text,Speaker,Start time(ms),End time(ms)
227,00:39:16,00:39:20,イケバル ポンドが安いから手ので観光客を,0,2356420,2360260
228,00:39:20,00:39:37,米米 確かにね その全部が悪くなるわけではないが確かに今その車とかそこら辺は悪くなるけど 観光業は確か 栄 そうやね 確かにプラスの面もあるね,2,2360268,2377648
229,00:39:37,00:39:38,,1,2377672,2378932
230,00:39:38,00:39:43,おばんでやすの間待たせ 円安ですが悪いのかという誰も悪くない 12本,1,2378932,2383892
231,00:39:43,00:39:47,よくもあれば悪くもあるしね,2,2383916,2387836
232,00:39:47,00:39:53,,1,2387856,2393436
233,00:39:53,00:40:00,観光業とかで そこら辺は日本人観光客が日本でさ 何段,0,2393444,2400394
234,00:40:00,00:40:09,是正してもらってだいたい2日の 安い 高いとかで雷電は 時間によりけり じゃんですか,0,2400394,2409204
235,00:40:09,00:40:11,そんなに問題じゃないかも,0,2409720,2411900
236,00:40:11,00:40:16,なんかそんな気がしてきたね ポンド安,2,2411924,2416064
237,00:40:16,00:40:17,,1,2416076,2417196
238,00:40:17,00:40:30,あとは 時間の流れに任せる ん 今日 直近と言うか 一番 解決すべきは 期待,2,2417216,2430376
239,00:40:30,00:40:32,,0,2430396,2432916
240,00:40:32,00:40:36,あそこもなんかなんかないみたいな感じになっとる,2,2432932,2436452
241,00:40:36,00:40:39,ayes 民としてもしかしたら新年の覇者,1,2436464,2439484
242,00:40:39,00:40:47,頭が悪いんやったら 7個しかない 形だっても待って思っちゃいますよね,1,2439996,2447856
243,00:40:47,00:40:49,,2,2447872,2449712
244,00:40:49,00:40:57,こんな感じのやつですか 安全ですか,2,2449712,2457612
245,00:40:57,00:41:01,1がきつくなる 輸出がきつくなる,0,2457624,2461064
246,00:41:01,00:41:10,輸入がきつくなると あれか 物の値段が高くなるから時刻で暮らしてる人はちょっと生活 厳しくなるか,2,2461076,2470236
247,00:41:10,00:41:24,もってことかそういうケースだろ EU が手始めにあるとしても私に言ってその なんか勝手に出てた人にまたこの自由貿易協定を結んだな アメリカとかは,1,2470244,2484924
248,00:41:24,00:41:29,別の国にシフトしていくボーイにもそうやね,2,2484944,2489464
249,00:41:29,00:41:35,ソウル すべきやと思うからちょっと,2,2489984,2495724
250,00:41:35,00:41:57,EU 側には何て言うやろ 一気に 完全かけます ではなくて20年ぐらいのペースで 緩やかに関税をかけてもらうんでその間に一列は他の他の国との貿易協定結んだりそうでそのビジネス 牙を立て とく というのがいいんじゃね,2,2495724,2517704
251,00:41:59,00:42:14,2階以上に関税を EU には,1,2519548,2534788
252,00:42:14,00:42:38,かけてもらいつつ イギリス その間にも貿易協定を何とか締結させる,2,2534796,2558836
253,00:42:38,00:42:59,関税 かかってもそうは言っても距離的な問題で,2,2558836,2579366
254,00:42:59,00:43:26,掴んでかかっても 一番安い みたいな感じの言葉 ありえそうやけどね とか アメリカからアメリカとイギリス 貿易 しますって言ってもは移動する燃料費と言うか分かるからぶっちゃけわけで 完全がかかったとしても 3000の方が安いんちゃうかな 一体感じってどのくらい,2,2579366,2606656
255,00:43:26,00:43:27,,1,2606676,2607796
256,00:43:27,00:43:28,,2,2607804,2608784
257,00:43:29,00:43:51,デパ地下 かけられた それは,2,2609304,2631224
258,00:43:51,00:43:54,,1,2631248,2634208
259,00:43:54,00:43:56,,0,2634220,2636100
260,00:43:56,00:44:04,箱根 まとめ,2,2636116,2644496
261,00:44:04,00:44:07,まとめる必要があったかも,1,2644520,2647470
262,00:44:07,00:44:07,,1,2647470,2647620
263,00:44:07,00:44:14,ソース,0,2647632,2654072
264,00:44:14,00:44:18,,2,2654080,2658240
