Order,Start time(HH:MM:SS),End time(HH:MM:SS),Text,Speaker,Start time(ms),End time(ms)
282,00:42:45,00:42:47,どうなんだっけ,0,2565175,2567795
283,00:42:47,00:42:54,尾上幼稚園って何 幼稚園しとん,2,2567815,2574495
284,00:42:54,00:43:04,日本一 幼稚園は幼稚園の先生,1,2574507,2584607
285,00:43:04,00:43:05,,2,2584615,2585595
286,00:43:05,00:43:07,,1,2585615,2587155
287,00:43:07,00:43:09,好きな映画は,2,2587179,2589579
288,00:43:09,00:43:14,私たちがれの時 保育士さんとか 今何ですか,0,2589595,2594475
289,00:43:14,00:43:15,,0,2594995,2595975
290,00:43:15,00:43:20,それはすげーわ,2,2595995,2600735
291,00:43:20,00:43:24,教員 教諭 幼稚園,1,2600755,2604335
292,00:43:24,00:43:27,幼稚園教諭と保育士なんだ,0,2604343,2607483
293,00:43:27,00:43:32,なんか幼稚園で教育ですよ なんか 違いますよね,1,2607495,2612795
294,00:43:32,00:43:35,今日 笑顔 免許って感じで教員免許,0,2612819,2615679
295,00:43:35,00:43:38,幼稚園は他の学校10,1,2615703,2618383
296,00:43:38,00:43:40,学校 新体操 だどうだ どうだ,0,2618407,2620867
297,00:43:40,00:43:42,,1,2620887,2622007
298,00:43:42,00:43:45,自分にしろ,2,2622015,2625375
299,00:43:45,00:43:47,共有と書かないといけないこと,0,2625391,2627011
300,00:43:47,00:43:49,幼稚園教諭ですね 多分,1,2627031,2629611
301,00:43:50,00:43:52,どうでもいいんでしょうけどね,0,2630119,2632199
302,00:43:52,00:43:59,なんか今日は調子じゃない 幼稚園は 教育機関ってあったのに保育園 はただ,1,2632215,2639655
303,00:43:59,00:44:08,けど そんな 幼稚園でそんな教育 っぽいことやってたよね,2,2639671,2648471
304,00:44:08,00:44:10,でも確かにちょっと教育 っぽかった,0,2648491,2650671
305,00:44:10,00:44:19,保育園は結局親が働くために預けてるって感じだけど幼稚園はなんか社会性とか回すためには着けてるんじゃん,1,2650683,2659503
306,00:44:20,00:44:22,,1,2660211,2662431
307,00:44:22,00:44:29,若者 社会性はある,0,2662939,2669939
308,00:44:29,00:45:14,でしょうね 言ったら保育園何でも強い女ですよ,1,2669955,2714895
309,00:45:14,00:45:32,確かに 幼稚園は早かったわ,2,2714911,2732341
310,00:45:32,00:45:41,こんなモデルでもやってるなあ,2,2732341,2741991
311,00:45:41,00:45:46,遊戯会 とかやってたなっていう記憶はありましたか この間,0,2741999,2746499
312,00:45:46,00:45:48,簡単で実家で,1,2746507,2748647
313,00:45:48,00:45:58,あーなるほど,2,2748671,2758111
314,00:45:58,00:46:01,何か発掘したんで見たい,1,2758135,2761315
315,00:46:01,00:46:04,,2,2761823,2764403
